"","X0.NC","X3.NC","X3.PC","X8.NC","X8.PC","X235.PC"
"ENSG00000272677",0.845890340468042,0.79497565844157,0.269888086856464,0.366668315733912,0.566716504297302,0.409639060320767
"ENSG00000272678",0.0352454308528351,0,0,0.112821020225819,0.0435935772536386,0.0372399145746152
"ENSG00000272679",0,0,0,0,0,0
"ENSG00000272681",0,0,0,0,0,0
"ENSG00000272682",0.0704908617056702,0.0397487829220785,0.134944043428232,0.0846157651693644,0.130780731760916,0.186199572873076
"ENSG00000272685",0,0,0,0,0,0
"ENSG00000272686",5.81549609071779,5.72382474077931,3.40733709656285,5.72566677646032,5.31841642494391,3.98467085948382
"ENSG00000272688",0.422945170234021,0.914222007207806,0.506040162855869,0.535899846072641,0.610310081550941,0.335159231171536
"ENSG00000272689",0,0,0,0,0,0.0372399145746152
"ENSG00000272690",0.0704908617056702,0.0397487829220785,0.134944043428232,0.394873570790367,0.523122927043664,0.148959658298461
"ENSG00000272691",0,0,0,0.0846157651693644,0,0.148959658298461
"ENSG00000272692",0.599172324498197,1.1129659218182,0.775928249712333,1.60769953821792,0.915465122326411,0.856518035216149
"ENSG00000272693",3.55978851613634,3.37864654837667,2.39525677085112,3.35642535171812,2.87717609874015,2.83023350767075
"ENSG00000272694",0.528681462792526,0.27824148045455,0.0674720217141159,0.0846157651693644,0.174374309014555,0.297919316596921
"ENSG00000272695",0.317208877675516,0.079497565844157,0.0674720217141159,0.112821020225819,0.261561463521832,0
"ENSG00000272696",0.281963446822681,1.15271470474028,0.674720217141159,0.507694591016186,0.697497236058218,0.670318462343073
"ENSG00000272699",0,0,0,0.0282052550564548,0,0
"ENSG00000272701",0,0,0,0,0,0
"ENSG00000272702",0.14098172341134,0.755226875519492,0.303624097713522,1.01538918203237,0.217967886268193,0.744798291492303
"ENSG00000272703",0.0704908617056702,0.079497565844157,0.0674720217141159,0.225642040451638,0,0.0372399145746152
"ENSG00000272707",0.0352454308528351,0,0,0,0.130780731760916,0.148959658298461
"ENSG00000272709",0,0,0,0,0,0
"ENSG00000272710",0.493436031939691,0.357739046298707,0,0.451284080903277,0.435935772536386,0
"ENSG00000272711",2.64340731396263,1.27196105350651,1.51812048856761,2.9333465258713,2.26686601718921,2.23439487447691
"ENSG00000272714",0,0,0,0,0,0
"ENSG00000272715",0.176227154264176,0,0.0674720217141159,0.169231530338729,0.130780731760916,0.148959658298461
"ENSG00000272716",1.02211749473222,1.39120740227275,0.404832130284696,1.04359443708883,1.1334330085946,0.856518035216149
"ENSG00000272717",0.528681462792526,0.79497565844157,0.573512184569985,0.733336631467825,0.610310081550941,0.297919316596921
"ENSG00000272719",0,0,0,0,0,0
"ENSG00000272720",0.352454308528351,0.27824148045455,0.202416065142348,0.70513137641137,0,1.04271760808922
"ENSG00000272721",0.704908617056702,1.27196105350651,0.843400271426449,1.01538918203237,1.30780731760916,0.707558376917688
"ENSG00000272727",0,0,0,0,0,0
"ENSG00000272729",0.0352454308528351,0.0397487829220785,0,0.0282052550564548,0,0.111719743723845
"ENSG00000272732",0,0,0,0.0282052550564548,0,0.148959658298461
"ENSG00000272733",0,0,0.033736010857058,0.0282052550564548,0,0
"ENSG00000272734",0.211472585117011,0,0,0,0,0
"ENSG00000272735",0.0704908617056702,0.27824148045455,0,0.0282052550564548,0.174374309014555,0.223439487447691
"ENSG00000272736",0,0,0,0,0,0
"ENSG00000272741",0,0,0,0,0,0
"ENSG00000272742",59.5647781412913,61.5311159633775,51.3799445352993,58.356672711805,57.3255540885348,55.3385130578781
"ENSG00000272744",0,0,0,0.112821020225819,0,0
"ENSG00000272745",0,0,0,0,0,0
"ENSG00000272746",0,0,0,0.112821020225819,0,0.0372399145746152
"ENSG00000272748",0,0,0,0,0,0
"ENSG00000272750",9.51626633026548,13.2760934959742,11.4702436913997,12.6077490102353,11.465110817707,13.8532482217568
"ENSG00000272752",0,0.317990263376628,0.0674720217141159,0.310257805621003,0.0435935772536386,0.111719743723845
"ENSG00000272754",0,0,0,0,0.174374309014555,0
"ENSG00000272755",0.0352454308528351,0.27824148045455,0,0.535899846072641,0.0871871545072773,0.446878974895382
